,id,asin,title,price,original_price,currency,star_rating,num_ratings,url,photo,num_offers,minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume_in_past_month,delivery,has_variations,coupon_text,unit_price,unit_count,availability
90,90,B0D8DJ6T8V,"[2+2 Pack] for Google Pixel 7 Pro Screen Protector, 9H Tempered Glass, Ultrasonic Fingerprint Compatible, 3D Curved, HD Clear Scratch Resistant for Google Pixel 7 Pro 5G Glass Screen Protector",9.99,11.99,USD,4.3,243,https://www.amazon.com/dp/B0D8DJ6T8V,https://m.media-amazon.com/images/I/71Oi3qWnvoL._AC_UL960_FMwebp_QL65_.jpg,1,9.99,False,False,True,False,200.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
91,91,B0D97F6FP6,GNMN Wireless Earbuds Bluetooth Headphones Over Ear Buds 90H Playback IPX7 Waterproof Sports Earphones Deep Bass with Wireless Charging Case Dual LED Power Display Earhooks Headset for Running White,25.99,41.99,USD,4.9,358,https://www.amazon.com/dp/B0D97F6FP6,https://m.media-amazon.com/images/I/61KYd0DHHPL._AC_UL960_FMwebp_QL65_.jpg,1,25.99,False,False,True,False,500.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",True,Save 40% with coupon,,,
92,92,B0D9238TCL,Hidden camera - 1080P Indoor camera - Nanny camera - Best mini camera - WiFi wireless camera - Home Camera for Pet/Baby - Live Video Recorder with Night Vision - Full HD Surveillance Camerar (Black),36.98,,USD,4.8,4436,https://www.amazon.com/dp/B0D9238TCL,https://m.media-amazon.com/images/I/61ruR1zq+xL._AC_UL960_FMwebp_QL65_.jpg,1,36.98,False,False,True,False,50.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,Save 10% with coupon,,,
95,95,B0D7ZQ1ZLF,GNMN Wireless Earbuds Bluetooth Headphones Deep Bass Stereo Sound Ear Buds Waterproof Earphones 68Hrs Playback with Wireless Charging Case &amp; Mic for iPhone Android TV Laptop Sports Black,18.99,,USD,4.9,264,https://www.amazon.com/dp/B0D7ZQ1ZLF,https://m.media-amazon.com/images/I/61PNXCx+PtL._AC_UL960_FMwebp_QL65_.jpg,1,18.99,False,False,True,False,2.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
96,96,B0D73N1WKT,"Cuteey 6+6 Pack for Samsung Galaxy Watch 7 Screen Protector Case 44mm, Hard PC Bumper Cover with Anti-Fog Tempered Glass Protective Film for Galaxy Watch 7 Accessories Neutral,44mm",9.99,,USD,4.5,2717,https://www.amazon.com/dp/B0D73N1WKT,https://m.media-amazon.com/images/I/71FoMmmXCmL._AC_UL960_FMwebp_QL65_.jpg,1,9.99,False,False,True,False,100.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 20% with coupon,,,
97,97,B0D7LT84FG,"TV Antenna, TV Antenna Indoor, HD TV Antenna for Smart TV and Old TV,TV Antenna for Local Channels,Support 4K 1080p with Signal Booster Antenna TV Digital HD Indoor, 18FT Coax HDTV Cable",26.99,29.99,USD,4.8,43326,https://www.amazon.com/dp/B0D7LT84FG,https://m.media-amazon.com/images/I/51XeODoyZAL._AC_UL932_FMwebp_QL65_.jpg,1,26.99,False,False,True,False,2.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 5% with coupon,,,
99,99,B0D5YH77VF,"Charger for MacBook Air 13 15 inch M2 M3 2024 2023 2022 2021 MacBook Pro 14 inch M1 M2 M3, 70W USB C Power Adapter, 6.6FT USB C to 3 Braided Cable, Powerful Connect, Super Durable, Original Quality",59.99,,USD,5.0,1,https://www.amazon.com/dp/B0D5YH77VF,https://m.media-amazon.com/images/I/51ATvfRzQiL._AC_UL960_FMwebp_QL65_.jpg,1,59.99,False,False,True,False,100.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,Save $20.00 with coupon,,,
100,100,B0D626HRLD,"Lightning to HDMI Adapter Digital AV, for iPad iPhone to HDMI Adapter 1080P with Lightning Charging Port Compatible for iPhone, iPad and iPod Models and TV Monitors Projector",14.99,,USD,4.6,144177,https://www.amazon.com/dp/B0D626HRLD,https://m.media-amazon.com/images/I/515SrvqoK1L._AC_UL960_FMwebp_QL65_.jpg,1,14.99,False,False,True,False,50.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
101,101,B0D62CPFYZ,"10.1&quot; WiFi Digital Picture Frame, Smart Electronic Photo Frame, 1280x800 IPS HD Touch Screen, Auto-Rotate, Easy Setup to Share Photos or Videos Remotely via App and Email",69.99,,USD,4.6,11,https://www.amazon.com/dp/B0D62CPFYZ,https://m.media-amazon.com/images/I/71bxcVxzRuL._AC_UL960_FMwebp_QL65_.jpg,1,69.99,False,False,True,False,50.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,Save $15.00 with coupon,,,
102,102,B0D7M5DLSW,"Wireless Earbuds, Bluetooth 5.3 Headphones, 72Hrs Deep Bass Ear Buds with Earhook, Bluetooth Earbuds with 4 ENC Noise Canceling Mic, LED Display Earphones, IP7 Waterproof Earbud for Sport, Black",29.99,,USD,5.0,240,https://www.amazon.com/dp/B0D7M5DLSW,https://m.media-amazon.com/images/I/714Mn-845yL._AC_UL960_FMwebp_QL65_.jpg,1,29.99,False,False,True,False,100.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",True,Save $10.00 with coupon,,,
103,103,B0D5YMWWSX,"Wireless Lavalier Microphone for iPhone/Android, Mini Microphone with Noise Cancellation, 16Hrs Battery Life, Lapel Bluetooth Mic, USB C Wireless Lapel Microphone for Video Recording",69.99,99.99,USD,5.0,20,https://www.amazon.com/dp/B0D5YMWWSX,https://m.media-amazon.com/images/I/71gC61AOCzL._AC_UL960_FMwebp_QL65_.jpg,1,69.99,False,False,True,False,100.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,Save 30% with coupon,,,
104,104,B0D86QG8NJ,"Video Capture Card USB 2.0, RCA to USB Video Capture Device, Digital Video Converter to Save Digital Files for Your Mac OS X Windows 7 8 10 PC, One Touch VCR TV to DVD",15.99,19.99,USD,4.8,6,https://www.amazon.com/dp/B0D86QG8NJ,https://m.media-amazon.com/images/I/51Co-OyYHWL._AC_UL960_FMwebp_QL65_.jpg,1,15.99,False,False,True,False,200.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
105,105,B0D343FLYZ,"Rand McNally RANDTAB8 Rand Tablet with Rand Navigation GPS with Speed Camera Alerts and Live Traffic, Weather and Fuel - 8 Inch",549.99,,USD,5.0,1,https://www.amazon.com/dp/B0D343FLYZ,https://m.media-amazon.com/images/I/71xUpU2bRrL._AC_UL960_FMwebp_QL65_.jpg,1,549.99,False,False,True,False,50.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,,,,
106,106,B0D5VK53LB,"Open Ear Swimming Headphones, Wireless Waterproof Bone Conduction Earphones, Built-in 32GB MP3,with Mic, IP68, Up to 10 Hours Battery, Bluetooth 5.3,for Running,Swimming,Workouts",59.95,,USD,3.0,2,https://www.amazon.com/dp/B0D5VK53LB,https://m.media-amazon.com/images/I/61eyq9rxHaL._AC_UL960_FMwebp_QL65_.jpg,1,59.95,False,False,True,False,100.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,,,,
107,107,B0D4Z8DDYB,"TIMMKOO Kids MP3 Player with Bluetooth and WIFI, Parental Controls, Pre-Installed Spotify, Spotify Kids, Pandora, 4&quot; Touch Screen MP4 Player with Audible, Audiobooks Up to 1TB (Black)",49.99,,USD,4.3,182,https://www.amazon.com/dp/B0D4Z8DDYB,https://m.media-amazon.com/images/I/71Ylq9rKl5L._AC_UL960_FMwebp_QL65_.jpg,1,49.99,False,False,True,False,500.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,,,,
109,109,B0D948J9D3,GNMN Bluetooth Headphones Wireless Earbuds 96hrs Playback Ear Buds IPX7 Waterproof Stereo Bass Over-Ear Earphones with Earhooks Microphone LED Battery Display for Sports/Workout/Gym/Running Blue,26.99,,USD,4.9,431,https://www.amazon.com/dp/B0D948J9D3,https://m.media-amazon.com/images/I/71QFilN0DdL._AC_UL960_FMwebp_QL65_.jpg,3,26.72,False,False,True,False,2.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",True,Save 40% with coupon,,,
110,110,B0D49HKPMG,Voice Remote Control Replacement for Fire-TV-Stick/TV Cube and for Insignia/Toshiba/Pioneer/AMZ Fire Smart TVs,12.99,,USD,4.6,8,https://www.amazon.com/dp/B0D49HKPMG,https://m.media-amazon.com/images/I/61FS+ukJJIL._AC_UL960_FMwebp_QL65_.jpg,1,12.99,False,False,True,False,300.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 6% with coupon,,,
111,111,B0D69L9SJV,"8K@60Hz Displayport KVM Switch 2 Monitors 2 Computers USB 3.0, 4K@240Hz KVM Switch Displayport with 3 USB 3.0 Ports Sharing Keyboard and Mouse, Printer/Scanner, Desktop Controller",64.99,99.99,USD,4.2,252,https://www.amazon.com/dp/B0D69L9SJV,https://m.media-amazon.com/images/I/71p8UFYli6L._AC_UL960_FMwebp_QL65_.jpg,1,64.99,False,False,True,False,50.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,,,,
